name,engine,kmpl,brand,selling_price,ex_showroom_price
"Bajaj Pulsar 150",100-200,53,Bajaj,25000,74000
"Royal Enfield Bullet 350",300-400,29,Royal_Enfield,90000,117000
"Bajaj Discover 125",100-200,59,Bajaj,25000,57549
"Bajaj Pulsar 150 [2001-2011]",200-300,36,Bajaj,42000,52000
"Hero Splendor PRO",100-200,54,Hero,35000,51994
"Hero Xtreme Sports",100-200,48,Hero,50000,80350
"Honda Activa 3G",100-200,54,Honda,30000,54605
"Yamaha FZ16",100-200,62,Yamaha,48000,78712
"Honda CB Hornet 160R",100-200,64,Honda,65000,88161
"Royal Enfield Thunderbird 350",300-400,41,Royal_Enfield,85000,95000
"Hero Hunk",100-200,51,Hero,45000,78513
"Suzuki Let''s",0-100,76,Suzuki,34000,50098
"Royal Enfield Electra 4 S",300-400,34,Royal_Enfield,90000,100000
"TVS Scooty Pep Plus",0-100,68,TVS,35000,45000
"Mahindra Mojo XT300",300-400,25,Mahindra,165000,195500
"TVS Apache RTR 160",100-200,55,TVS,35000,81000
"Bajaj Pulsar AS200",200-300,45,Bajaj,65000,92074
"Bajaj Pulsar 150",100-200,57,Bajaj,29500,74000
"Royal Enfield Thunderbird 350X",300-400,26,Royal_Enfield,165000,164004
"Suzuki Intruder 150",100-200,58,Suzuki,95000,105000
"Hero Honda Karizma ZMR [2010]",100-200,55,Hero,50000,60000
"Honda Dio",100-200,55,Honda,7500,17500
"Bajaj Xcd",0-100,67,Bajaj,25000,35000
"Hero Splendor Plus",100-200,45,Hero,35000,45000
"Royal Enfield Thunderbird 350X",300-400,35,Royal_Enfield,160000,164004
"Honda CB Unicorn 150",100-200,56,Honda,50000,74295
"Honda Activa 5G",100-200,62,Honda,62000,57557
"Honda CB Twister",100-200,58,Honda,30000,53857
"Hero Splendor PRO",100-200,57,Hero,28000,49642
"Hero Honda CD Deluxe",100-200,48,Hero,25000,35000
"Honda Activa i [2016-2017]",100-200,45,Honda,30000,51112
"Royal Enfield Classic Gunmetal Grey",300-400,35,Royal_Enfield,140000,148114
"TVS Scooty Zest 110",0-100,65,TVS,30000,53751
"Hero CD Deluxe",100-200,57,Hero,25000,35000
"Suzuki Access 125 [2007-2016]",200-300,42,Suzuki,22000,58314
"Honda Activa [2000-2015]",200-300,49,Honda,22989,50267
"Honda Activa 125 [2016-2017]",100-200,64,Honda,42000,61653
"Suzuki GS150R",100-200,63,Suzuki,30000,70851
"Bajaj Pulsar 220S",200-300,44,Bajaj,55000,65000
"Honda Activa 4G",100-200,60,Honda,45000,53079
"Yamaha FZ25",100-200,46,Yamaha,150000,133680
"Bajaj Pulsar 150",100-200,64,Bajaj,42000,74000
"Hero Splendor Plus",100-200,59,Hero,30000,40000
"Bajaj Discover 100",100-200,57,Bajaj,24999,42859
"Royal Enfield Thunderbird 350X",300-400,27,Royal_Enfield,160000,164004
"Royal Enfield Classic 350",300-400,31,Royal_Enfield,175000,147000
"Bajaj Pulsar 150",100-200,47,Bajaj,40000,74000
"Bajaj Pulsar NS160",100-200,56,Bajaj,85000,95000
"Royal Enfield Classic Desert Storm",300-400,31,Royal_Enfield,150000,181445
"Suzuki Gixxer SF",0-100,78,Suzuki,80000,90000
"TVS Apache RTR 200 4V",200-300,45,TVS,95000,105000
"Bajaj V15",0-100,80,Bajaj,42000,65626
"TVS XL 100 Heavy Duty",100-200,55,TVS,40000,50000
"Yamaha FZ S V 2.0",100-200,62,Yamaha,50000,84042
"Hero HF Deluxe",100-200,61,Hero,40000,50000
"Aprilia SR 125",100-200,57,Aprilia,75000,85000
"Yamaha FZ25",100-200,55,Yamaha,120000,132680
"Hero Honda Glamour",100-200,58,Hero,30000,40000
"Bajaj Discover 125 ST",100-200,64,Bajaj,17500,58438
"Hero Honda Passion Plus",100-200,59,Hero,7500,17500
"Honda Aviator",100-200,58,Honda,57000,61118
"Vespa SXL 149",0-100,67,Vespa,80000,90000
"TVS Scooty Pep Plus",0-100,81,TVS,18000,28000
"Hero Xtreme [2013-2014]",100-200,51,Hero,25000,75936
"Royal Enfield Thunderbird 350",300-400,23,Royal_Enfield,83900,93900
"UM Renegade Commando",0-100,72,UM,160000,180525
"Royal Enfield Classic Gunmetal Grey",300-400,22,Royal_Enfield,135000,148114
"Honda CB Hornet 160R",100-200,54,Honda,55000,87543
"Honda Shine",100-200,53,Honda,50000,60000
"Bajaj Discover 100",100-200,61,Bajaj,20000,42859
"Hero Honda CBZ extreme",100-200,59,Hero,25000,78700
"Royal Enfield Classic 350",300-400,40,Royal_Enfield,125000,147000
"Honda Activa 5G",100-200,47,Honda,55000,57557
"Bajaj Avenger Street 150 [2018]",100-200,56,Bajaj,50000,80435
"Royal Enfield Continental GT 650",500-1000,19,Royal_Enfield,299000,309000
"Honda Activa 3G",100-200,55,Honda,60000,54605
"Honda Activa 3G",100-200,61,Honda,40000,54605
"Bajaj Pulsar 180",100-200,55,Bajaj,15000,85011
"Harley-Davidson Street Bob",0-100,69,Harley-Davidson,750000,1278000
"Hero Honda CBZ extreme",100-200,47,Hero,20000,78700
"Royal Enfield Classic Gunmetal Grey",300-400,29,Royal_Enfield,190000,155740
"KTM 390 Duke ABS [2013-2016]",300-400,27,KTM,130000,202127
"Honda CB Hornet 160R",100-200,45,Honda,54786,88161
"KTM 200 Duke",200-300,44,KTM,72000,82000
"Hero Karizma 2014",100-200,62,Hero,35000,86744
"Hero Glamour 125",100-200,51,Hero,45000,61600
"Royal Enfield Classic 350",300-400,28,Royal_Enfield,85000,147000
"Royal Enfield Classic 500",500-1000,22,Royal_Enfield,100000,156304
"Bajaj Dominar 400",300-400,37,Bajaj,138000,160000
"Royal Enfield Thunderbird 350X",300-400,40,Royal_Enfield,150000,164004
"KTM RC 390",300-400,27,KTM,180000,190000
"Royal Enfield Thunderbird 350",300-400,34,Royal_Enfield,100000,110000
"Hero Hunk",100-200,62,Hero,20000,78513
"KTM 390 Duke",300-400,28,KTM,170000,180000
"Suzuki Gixxer [2014-2018]",0-100,81,Suzuki,60000,84246
"Royal Enfield Bullet 350",300-400,37,Royal_Enfield,123000,117000
"Suzuki Access 125",100-200,51,Suzuki,60000,76632
"TVS Apache RTR 200 4V",200-300,30,TVS,100000,110000
"Hero Xtreme Sports",100-200,48,Hero,22000,78350
"Honda Activa [2000-2015]",200-300,44,Honda,30000,50267
"Bajaj Discover 125",100-200,61,Bajaj,28000,60122
"Bajaj Pulsar 150",100-200,58,Bajaj,50000,74000
"Yamaha Saluto RX",100-200,61,Yamaha,40000,49521
"Hero HF Deluxe",100-200,46,Hero,43000,53000
"Suzuki Access 125",100-200,64,Suzuki,40000,76632
"Royal Enfield Classic Desert Storm",300-400,40,Royal_Enfield,100000,181445
"Hero HF Deluxe",100-200,59,Hero,30000,40000
"KTM RC 200",200-300,29,KTM,130000,140000
"Honda CB Hornet 160R",100-200,57,Honda,48000,88161
"Bajaj CT 100",100-200,62,Bajaj,32000,42000
"Hero Honda Pleasure",100-200,55,Hero,23000,33000
"Bajaj Pulsar 135 LS",100-200,63,Bajaj,20000,64589
"Royal Enfield Classic 350",300-400,26,Royal_Enfield,125000,147000
"Honda Navi [2016-2017]",100-200,48,Honda,23000,44389
"Bajaj Discover 125",100-200,47,Bajaj,15000,57549
"Yamaha SZ RR V 2.0",100-200,46,Yamaha,35000,69983
"Bajaj Discover 150",100-200,45,Bajaj,25000,54299
"Bajaj Pulsar 150",100-200,61,Bajaj,80000,74000
"TVS Flame",0-100,65,TVS,15000,25000
"Vespa VX 125",100-200,45,Vespa,45000,72303
"Yamaha SZ X",100-200,58,Yamaha,25000,65800
"Honda CBF Stunner",100-200,51,Honda,35000,58757
"Bajaj Discover 100 T",100-200,58,Bajaj,25000,47032
"Royal Enfield Classic 350",300-400,33,Royal_Enfield,170000,147000
"Honda Activa [2000-2015]",200-300,34,Honda,25000,50267
"Royal Enfield Electra 5 S",300-400,22,Royal_Enfield,60000,70000
"Bajaj Pulsar 150",100-200,50,Bajaj,41000,74000
"Honda Shine",100-200,52,Honda,35000,45000
"Honda CB Unicorn 160",100-200,47,Honda,75000,79233
"Honda Activa 3G",100-200,54,Honda,47999,54605
"Honda Shine",100-200,46,Honda,36999,46999
"Bajaj Pulsar 180",100-200,62,Bajaj,25000,85011
"Suzuki Gixxer SF",0-100,70,Suzuki,60000,70000
"Honda CB Unicorn 150",100-200,50,Honda,50000,74295
"Yamaha YZF R15 [2011-2018]",100-200,56,Yamaha,65000,118997
"TVS Sport",0-100,74,TVS,12000,22000
"Bajaj Pulsar AS200",200-300,34,Bajaj,60000,92074
"Honda Activa [2000-2015]",200-300,40,Honda,20000,50267
"Yamaha FZ16",100-200,48,Yamaha,27000,78712
"Bajaj Boxer",0-100,79,Bajaj,10000,20000
"Hero Honda Hunk",100-200,48,Hero,56000,66000
"Hero Honda Hunk",100-200,51,Hero,58000,68000
"Bajaj Avenger Cruise 220",200-300,47,Bajaj,87000,97000
"Yamaha Ray Z",100-200,46,Yamaha,35000,52949
"Bajaj Pulsar 180",100-200,51,Bajaj,35000,85011
"Bajaj Discover 150F",100-200,56,Bajaj,40000,64071
"Bajaj Pulsar 135 LS",100-200,59,Bajaj,56000,64589
"Bajaj Pulsar 180",100-200,46,Bajaj,30000,85011
"Honda Activa 125 [2016-2017]",100-200,46,Honda,40000,61545
"Hero HF Deluxe",100-200,48,Hero,60000,70000
"Hero Karizma 2014",100-200,60,Hero,40000,86744
"Bajaj Platina 100",100-200,48,Bajaj,40000,50000
"Royal Enfield Bullet 500",500-1000,15,Royal_Enfield,130000,168482
"Bajaj Pulsar AS200",200-300,36,Bajaj,45000,92074
"Yamaha FZ S [2012-2016]",100-200,58,Yamaha,42000,79432
"Bajaj Pulsar 220 Fi",200-300,40,Bajaj,25000,35000
"Bajaj Pulsar 150",100-200,61,Bajaj,15000,74000
"Bajaj Dominar 400 [2018]",300-400,34,Bajaj,170000,163331
"Hero Passion X Pro [2016-2017]",100-200,48,Hero,38000,59095
"Yamaha FZ S V 2.0",100-200,51,Yamaha,60000,84042
"TVS Apache RTR 160",100-200,47,TVS,65000,81000
"Bajaj Avenger [2015]",100-200,56,Bajaj,35000,75502
"Bajaj Pulsar 150",100-200,56,Bajaj,70000,74000
"Hero Honda Glamour",100-200,49,Hero,15000,25000
"Hero Splendor iSmart",100-200,51,Hero,50000,52271
"Royal Enfield Classic 350",300-400,40,Royal_Enfield,145000,147000
"Yamaha FZ16",100-200,63,Yamaha,25000,78712
"Hero Xtreme Sports",100-200,60,Hero,58000,80350
"Royal Enfield Bullet 350 [2007-2011]",200-300,41,Royal_Enfield,90000,100000
"Hero Honda Passion",100-200,64,Hero,9000,19000
"Bajaj Discover 150S",100-200,56,Bajaj,40000,63331
"TVS Scooty Zest 110",0-100,72,TVS,28000,52372
"Bajaj Avenger Street 150 [2018]",100-200,64,Bajaj,50000,80435
"Yamaha Cygnus Ray ZR",100-200,45,Yamaha,56000,58630
"Honda Activa [2000-2015]",200-300,34,Honda,35000,50267
"TVS Apache RTR 200 4V",200-300,46,TVS,95000,105000
"Honda Shine",100-200,51,Honda,30000,40000
"Honda CB Hornet 160R",100-200,55,Honda,95000,94703
"Honda Activa i [2016-2017]",100-200,57,Honda,40000,53436
"Hero Karizma 2014",100-200,54,Hero,30000,86744
"Bajaj Discover 100 T",100-200,57,Bajaj,18000,47032
"Honda Aviator",100-200,59,Honda,14000,59183
"Hero Splendor Plus",100-200,56,Hero,17000,27000
"Royal Enfield Thunderbird 350",300-400,38,Royal_Enfield,125000,135000
"Bajaj CT 110",100-200,62,Bajaj,20000,30000
"Hero Passion PRO i3s",100-200,56,Hero,50000,56925
"KTM RC 390",300-400,29,KTM,210000,220000
"Bajaj Pulsar 220F",200-300,49,Bajaj,70000,80000
"Hero Maestro Edge",100-200,51,Hero,40000,55980
"Bajaj Xcd",0-100,75,Bajaj,10000,20000
"Bajaj Pulsar 150",100-200,64,Bajaj,35000,74000
"TVS Centra",0-100,78,TVS,10000,20000
"Honda Activa 3G",100-200,59,Honda,42000,54605
"Yamaha FZ16",100-200,60,Yamaha,20000,78712
"Hero Maestro Edge",100-200,57,Hero,25000,52790
"Bajaj Discover 125",100-200,59,Bajaj,25000,60122
"Royal Enfield Thunderbird 350X",300-400,31,Royal_Enfield,145000,164004
"Hero Super Splendor",100-200,63,Hero,50000,57000
"TVS Scooty Pep Plus",0-100,69,TVS,30000,40000
"Yamaha FZ V 2.0",100-200,51,Yamaha,60000,81508
"Hero Honda Splendor Plus",100-200,63,Hero,15000,25000
"Hero CD Deluxe",100-200,58,Hero,15000,25000
"Hero Honda Passion PRO [2012]",100-200,57,Hero,25000,35000
"Hero HF Deluxe i3s",100-200,45,Hero,54000,64000
"Bajaj Xcd",0-100,78,Bajaj,25000,35000
"Royal Enfield Interceptor 650",500-1000,13,Royal_Enfield,260000,270000
"Honda CBR-250R",100-200,50,Honda,100000,199275
"Bajaj Kristal",0-100,70,Bajaj,15000,25000
"Hero Honda Splendor Plus",100-200,49,Hero,20000,30000
"Honda Dream Yuga",100-200,53,Honda,35000,56147
"Yamaha FZ S V 2.0",100-200,54,Yamaha,50000,87042
"Hero Xpulse 200",200-300,33,Hero,90000,107500
"Bajaj V15",0-100,66,Bajaj,40000,67187
"Bajaj Avenger Street 220",200-300,39,Bajaj,80000,95955
"Bajaj Discover 135",100-200,46,Bajaj,20000,30000
"Honda CB Unicorn 150",100-200,45,Honda,70000,74295
"Vespa SXL 149",0-100,72,Vespa,98000,108000
"Royal Enfield Machismo",300-400,26,Royal_Enfield,75000,85000
"Honda CB Shine SP",100-200,61,Honda,50000,67214
"Honda CB Unicorn 150",100-200,48,Honda,40000,74295
"Honda CB Unicorn 150",100-200,49,Honda,75000,74295
"Honda CB Unicorn 150",100-200,58,Honda,50000,74295
"Bajaj Pulsar 150",100-200,57,Bajaj,60000,74000
"TVS Apache RTR 160",100-200,47,TVS,50000,81000
"Honda Dio",100-200,58,Honda,35000,45000
"Royal Enfield Thunderbird 350",300-400,39,Royal_Enfield,160000,170000
"Hero Maestro",100-200,48,Hero,25000,49412
"Hero Honda CBZ extreme",100-200,59,Hero,42000,78700
"Bajaj Dominar 400",300-400,32,Bajaj,200000,160000
"Honda Activa 125",100-200,48,Honda,40000,57000
"Royal Enfield Classic Desert Storm",300-400,24,Royal_Enfield,130000,181445
"KTM 250 Duke",200-300,46,KTM,195000,205000
"KTM RC 390",300-400,24,KTM,270000,280000
"Kawasaki Ninja 650 [2018-2019]",500-1000,19,Kawasaki,425000,599000
"TVS Apache RTR 200 4V",200-300,35,TVS,85000,95000
"Kawasaki Ninja 250R",200-300,37,Kawasaki,125000,317934
"TVS Wego",0-100,65,TVS,45000,54760
"Honda CBR-250R",100-200,59,Honda,85000,171646
"Bajaj Pulsar NS200",200-300,27,Bajaj,85000,95000
"Suzuki GSX S750",500-1000,22,Suzuki,760000,752020
"Royal Enfield Thunderbird 350",300-400,29,Royal_Enfield,100000,110000
"Royal Enfield Classic 350",300-400,32,Royal_Enfield,95000,147000
"Honda CB Shine SP",100-200,46,Honda,48000,67469
"Bajaj Avenger Street 150 [2018]",100-200,50,Bajaj,40000,80435
"Honda CBF Stunner",100-200,47,Honda,37000,58757
"Bajaj Avenger [2015]",100-200,60,Bajaj,38000,75502
"Suzuki Gixxer [2014-2018]",0-100,80,Suzuki,55000,78316
"Suzuki Access 125",100-200,53,Suzuki,45000,76632
"TVS Scooty Streak",0-100,72,TVS,18000,44140
"Royal Enfield Thunderbird 350X",300-400,29,Royal_Enfield,140000,164004
"Yamaha Rx",100-200,60,Yamaha,70000,80000
"Hero Honda Splendor Plus",100-200,58,Hero,15000,25000
"Bajaj Pulsar 125",100-200,63,Bajaj,65000,75000
"Honda Activa 5G",100-200,58,Honda,42000,57557
"Yamaha Fazer Dlx",100-200,58,Yamaha,58000,68000
"Harley-Davidson Street 750",500-1000,17,Harley-Davidson,330000,534000
"Hero Xtreme 2014",100-200,52,Hero,35000,72973
"Royal Enfield Classic 350",300-400,27,Royal_Enfield,162000,147000
"Hero Honda Hunk",100-200,58,Hero,28000,38000
"Royal Enfield Interceptor 650",500-1000,11,Royal_Enfield,285000,295000
"Royal Enfield Classic 350",300-400,30,Royal_Enfield,125000,147000
"Bajaj Pulsar 150 [2001-2011]",200-300,49,Bajaj,15000,25000
"Honda Activa [2000-2015]",200-300,37,Honda,29500,50267
"TVS Apache RR310",0-100,71,TVS,200000,210000
"Jawa Standard",0-100,77,Jawa,160000,170000
"Hero Honda Splendor PRO",100-200,53,Hero,30000,40000
"Yamaha FZ25",100-200,46,Yamaha,110000,133680
"Bajaj Pulsar 220F",200-300,36,Bajaj,70000,80000
"Yamaha Fascino 110",100-200,45,Yamaha,69000,57112
"Yamaha FZ16",100-200,45,Yamaha,30000,78712
"Yamaha FZ16",100-200,63,Yamaha,30000,78712
"TVS Star City Plus",0-100,73,TVS,42000,52000
"Royal Enfield Classic 350",300-400,29,Royal_Enfield,160000,147000
"Bajaj Pulsar 135 LS",100-200,58,Bajaj,20000,64589
"Suzuki Access 125",100-200,54,Suzuki,45000,76632
"Bajaj Pulsar 135 LS",100-200,50,Bajaj,23000,64589
"UM Renegade Commando",0-100,67,UM,140000,180525
"Hero Honda Splendor Plus",100-200,47,Hero,12000,22000
"Hero Passion PRO i3s",100-200,60,Hero,50000,56925
"Royal Enfield Classic 350",300-400,31,Royal_Enfield,140000,147000
"Honda Activa 5G",100-200,54,Honda,55000,59422
"Yamaha Fascino 110",100-200,45,Yamaha,45000,54500
"Hero Splendor Plus",100-200,59,Hero,25000,35000
"Royal Enfield Thunderbird 350",300-400,29,Royal_Enfield,90000,100000
"Yamaha YZF R15 V3",100-200,57,Yamaha,120000,146400
"KTM RC 200",200-300,42,KTM,120000,130000
"TVS Radeon",0-100,69,TVS,35000,66492
"Hero HF Deluxe",100-200,64,Hero,35000,45000
"BMW G310GS",0-100,65,BMW,300000,349000
"Royal Enfield Thunderbird 350",300-400,29,Royal_Enfield,87000,97000
"Hero Honda Splendor Plus",100-200,45,Hero,18000,28000
"Yamaha FZ S V 2.0",100-200,48,Yamaha,50000,84042
"Bajaj Avenger Street 220",200-300,51,Bajaj,60000,95955
"Hero Honda Splendor Plus",100-200,60,Hero,15000,25000
"Bajaj Platina 100",100-200,52,Bajaj,30000,40000
"Royal Enfield Thunderbird 350X",300-400,40,Royal_Enfield,160000,164004
"Honda CB Unicorn 150",100-200,56,Honda,50000,74295
"Suzuki Gixxer [2014-2018]",0-100,68,Suzuki,62000,78316
"Bajaj Platina 100",100-200,57,Bajaj,45000,55000
"Royal Enfield Thunderbird 350",300-400,27,Royal_Enfield,120000,130000
"Royal Enfield Thunderbird 500",500-1000,18,Royal_Enfield,125000,190874
"Bajaj Pulsar AS150",100-200,55,Bajaj,50000,80821
"Bajaj Pulsar 150",100-200,60,Bajaj,30000,74000
"Hero Pleasure",100-200,48,Hero,40000,51600
"Honda Aviator",100-200,58,Honda,41000,63537
"Royal Enfield Thunderbird 350",300-400,38,Royal_Enfield,120000,130000
"Hero Ignitor",100-200,60,Hero,35000,67722
"Hero Honda CD100SS",100-200,64,Hero,10000,20000
"TVS Apache RTR 160",100-200,52,TVS,35000,81000
"Hero Achiever 150",100-200,47,Hero,38000,69750
"Vespa LX 125",100-200,51,Vespa,50000,77900
"Honda Activa 3G",100-200,51,Honda,40000,54605
"Hero Splendor Plus i3s",100-200,57,Hero,70000,55600
"Royal Enfield Classic 350",300-400,27,Royal_Enfield,140000,147000
"Hero Maestro",100-200,46,Hero,26500,53830
"Hero Glamour 125",100-200,55,Hero,38000,61600
"Yamaha FZ16",100-200,54,Yamaha,60000,78712
"Royal Enfield Himalayan",300-400,41,Royal_Enfield,145000,155000
"Yamaha FZ S V 2.0",100-200,61,Yamaha,78000,84480
"Hero Maestro Edge",100-200,59,Hero,58000,54580
"Yamaha FZ25",100-200,46,Yamaha,130000,132680
"TVS Victor",0-100,80,TVS,20000,54852
"Bajaj Dominar 400 [2018]",300-400,21,Bajaj,150000,163331
"Bajaj Pulsar 180",100-200,48,Bajaj,32000,85011
"Bajaj Pulsar 180",100-200,59,Bajaj,50000,85011
"KTM 200 Duke",200-300,29,KTM,120000,130000
"Bajaj Avenger Street 150 [2018]",100-200,48,Bajaj,60000,80435
"Bajaj Discover 100 M",100-200,56,Bajaj,20000,44756
"Royal Enfield Bullet 350 [2007-2011]",200-300,42,Royal_Enfield,65000,75000
"Yamaha YZF R15 S",100-200,54,Yamaha,70000,117926
"Yamaha FZ V 2.0",100-200,54,Yamaha,35000,81508
"Bajaj Avenger Street 220",200-300,43,Bajaj,95000,95955
"Bajaj Pulsar 150",100-200,47,Bajaj,8000,74000
"Royal Enfield Thunderbird 350",300-400,23,Royal_Enfield,85000,95000
"Hero Achiever 150",100-200,46,Hero,65000,69750
"Hero Passion Pro 110",100-200,46,Hero,39000,49000
"Hero Duet",100-200,45,Hero,45000,50280
"Bajaj Avenger Street 150 [2018]",100-200,45,Bajaj,60000,80435
"Royal Enfield Classic Stealth Black",300-400,33,Royal_Enfield,160000,204977
"Bajaj Pulsar 150",100-200,63,Bajaj,35000,74000
"Bajaj Pulsar 135 LS",100-200,55,Bajaj,40000,64589
"Yamaha Fazer [2009-2016]",200-300,38,Yamaha,40000,84751
"Honda CB Hornet 160R",100-200,64,Honda,56000,87543
"Honda CB Unicorn Dazzler",100-200,49,Honda,22000,71757
"Yamaha YBR 125",100-200,49,Yamaha,36000,54593
"Suzuki Intruder 150 Fi",100-200,55,Suzuki,100000,110240
"Bajaj V15",0-100,80,Bajaj,42000,67187
"Royal Enfield Electra 5 S",300-400,32,Royal_Enfield,85000,95000
"Hero Passion PRO TR",100-200,62,Hero,45000,54586
"Yamaha FZ25",100-200,60,Yamaha,145000,133680
"Hero Karizma [2003-2014]",200-300,37,Hero,50000,85766
"Royal Enfield Interceptor 650",500-1000,20,Royal_Enfield,270000,280000
"Royal Enfield Thunderbird 350",300-400,21,Royal_Enfield,60000,70000
"Royal Enfield Classic Squadron Blue",300-400,28,Royal_Enfield,140000,181445
"Hero Honda Splendor Plus",100-200,48,Hero,28000,38000
"KTM 390 Duke ABS [2013-2016]",300-400,36,KTM,180000,202127
"Bajaj Pulsar 180",100-200,57,Bajaj,42000,85011
"Suzuki Access 125 [2007-2016]",200-300,43,Suzuki,16000,58314
"Hero Splendor iSmart",100-200,56,Hero,40000,52271
"Bajaj Pulsar 180",100-200,47,Bajaj,38000,85011
"Yamaha YZF R15 S",100-200,59,Yamaha,85000,117926
"Honda Aviator",100-200,52,Honda,28000,63537
"KTM 200 Duke",200-300,30,KTM,135000,145000
"Royal Enfield Thunderbird 350",300-400,36,Royal_Enfield,120000,130000
"Hero Karizma ZMR",100-200,59,Hero,37000,108000
"Royal Enfield Classic Chrome",300-400,27,Royal_Enfield,135000,189313
"Hero Honda Splendor",100-200,55,Hero,10000,20000
"Mahindra Rodeo",0-100,79,Mahindra,20000,47343
"TVS Apache RTR 160",100-200,52,TVS,83299,81000
"Yamaha Fazer FI V 2.0 [2016-2018]",100-200,52,Yamaha,65000,89643
"Honda Activa 5G",100-200,60,Honda,50000,59422
"Bajaj Pulsar 220 Fi",200-300,41,Bajaj,65000,75000
"Hero Honda Karizma ZMR [2010]",100-200,57,Hero,45000,55000
"Honda CB Hornet 160R",100-200,64,Honda,60000,92210
"Royal Enfield Bullet 350",300-400,31,Royal_Enfield,110000,117000
"Hero Honda CD Deluxe",100-200,61,Hero,14700,24700
"Yamaha Saluto",100-200,51,Yamaha,38000,63180
"Suzuki Access 125",100-200,45,Suzuki,70000,76632
"TVS Sport",0-100,76,TVS,35000,45000
"Hero Honda Glamour",100-200,47,Hero,19000,29000
"KTM 125 Duke",100-200,57,KTM,130000,140000
"Bajaj Pulsar NS200",200-300,40,Bajaj,50000,60000
"Bajaj Pulsar 150 [2001-2011]",200-300,50,Bajaj,18000,28000
"Hero Xtreme 200R",200-300,28,Hero,87000,93400
"Hero Honda Splendor Plus",100-200,60,Hero,40000,50000
"Bajaj Discover 150S",100-200,46,Bajaj,35000,63331
"Honda CBR-250R",100-200,64,Honda,100000,171646
"Hero Pleasure",100-200,58,Hero,30000,51600
"Bajaj Avenger Cruise 220",200-300,40,Bajaj,95000,105000
